psu_number,hh_number,hhsize,hhs_wt,ind_wt,paasche,pcep_food,pcep_nonfood,n_adults,n_children,adult_equiv,oopg,nominal_total_cons_month,food_nom_mo,x_oopg_mo,food_share_oopg,food_equiv_mo,food_mid_4555,subsistence_line_ae,subsistence_hh_ae_mo,ctp_ae_mo,ctp_rule_subsistence,oopg_sh_ctp_ae,che_oopg_ctp10_ae,over_oopg_ctp10_ae,che_oopg_ctp25_ae,over_oopg_ctp25_ae,che_oopg_ctp40_ae,over_oopg_ctp40_ae
4618,11,6,818.30707,4909.8423,.7518556414122176,33550.45512587069,29278.656,3,3,3.0896506,0,23445.65229166667,12612.54947916667,23445.65229166667,.5379483292793508,4082.192773778049,0,8014.258409660657,24761.25855201183,10833.1028125,0,0,0,0,0,0,0,0
4618,12,8,818.30707,6546.4565,1.075112643268806,49035.04357665625,73660.438,7,1,4.532063,0,71484.61270833334,35145.46354166667,71484.61270833334,.4916507512611812,7754.848836971552,1,8014.258409660657,36321.12406980466,36339.14916666667,0,0,0,0,0,0,0,0
4619,1,1,927.10925,927.10925,.9659566504234005,54104.2613774047,33136.27,1,0,1,0,6398.60087890625,4355.197591145833,6398.60087890625,.6806484219860096,4355.197591145833,0,8014.258409660657,8014.258409660657,2043.403287760417,0,0,0,0,0,0,0,0
4619,2,2,927.10925,1854.2185,1.027221702846263,55782.33029318679,32475.221,2,0,1.6817929,0,13555.41393880208,9550.13671875,13555.41393880208,.7045256428070364,5678.545184007175,0,8014.258409660657,13478.32253359675,4005.277220052083,0,0,0,0,0,0,0,0
4619,3,2,927.10925,1854.2185,1.045146236641717,66833.38810743403,72250.867,2,0,1.6817929,0,20552.71763020834,11641.77734375,20552.71763020834,.5664349383479557,6922.242122339815,0,8014.258409660657,13478.32253359675,8910.940286458335,0,0,0,0,0,0,0,0
4619,4,3,927.10925,2781.3276,1.009608330185899,30004.13742402025,79349.164,3,0,2.2795072,850,22252.70212239583,7573.106770833333,23102.70212239583,.3278017753383029,3322.25618901449,0,8014.258409660657,18268.55942840848,15529.5953515625,0,.0547342014236371,0,0,0,0,0,0
4619,5,4,927.10925,3708.437,1.087860865573843,30135.28755141594,35467.668,4,0,2.8284271,500,19676.35809895833,10927.66666666667,20176.35809895833,.5416074899677182,3863.513667394318,0,8014.258409660657,22667.74548266752,9248.691432291665,0,.0540617019889168,0,0,0,0,0,0
4619,6,4,927.10925,3708.437,.9730675154094439,32888.53761052643,26277.6,2,2,2.2795072,600,17149.39709635417,10667.58919270833,17749.39709635417,.6010113546279,4679.77876052572,0,8014.258409660657,18268.55942840848,7081.807903645835,0,.0847241280988587,0,0,0,0,0,0
4619,7,5,927.10925,4635.5464,.9476235303498528,38131.20938086003,14157.288,3,2,2.8284271,0,19421.01018066406,15055.84635416667,19421.01018066406,.7752349756325529,5323.04561786705,0,8014.258409660657,22667.74548266752,4365.163826497395,0,0,0,0,0,0,0,0
4619,8,5,927.10925,4635.5464,.9046624161995228,56328.69823870426,83192.789,2,3,2.5588865,0,46883.80006510416,21232.69010416667,46883.80006510416,.4528790344358256,8297.628625461688,0,8014.258409660657,20507.57787651267,26376.22218859149,1,0,0,0,0,0,0,0
4619,9,5,927.10925,4635.5464,1.006136217004246,49073.06452699898,19872.379,3,2,2.8284271,120,26699.89495442709,20572.578125,26819.89495442709,.7670640828369143,7273.504873819498,0,8014.258409660657,22667.74548266752,6247.316829427087,0,.019208246240171,0,0,0,0,0,0
4619,10,6,927.10925,5562.6553,.831456842220704,32271.85065913997,18251.967,2,4,2.8284271,0,20169.55323567709,13416.32552083333,20169.55323567709,.665177129312996,4743.387458373313,0,8014.258409660657,22667.74548266752,6753.227714843752,0,0,0,0,0,0,0,0
4619,11,7,927.10925,6489.7646,.962046223294854,45314.6570167408,23567.887,5,2,3.8336587,1700,35603.76797526042,25430.296875,37303.76797526042,.6817085312096404,6633.427463613676,0,8014.258409660657,30723.93143794318,11873.47110026042,0,.1431763286106549,1,.0431763286106549,0,0,0,0
4619,12,8,927.10925,7416.874,.9155528112888945,29105.54129448418,13213.564,3,5,3.5914681,750,24283.79856770833,17765.10677083333,25033.79856770833,.7096448716236355,4946.474894684525,0,8014.258409660657,28782.95338962815,7268.691796875002,0,.1031822535552332,1,.0031822535552332,0,0,0,0
4620,1,1,777.40741,777.40741,1.109394180190314,39483.99341024632,53477.152,1,0,1,0,6948.033769531251,3650.276041666667,6948.033769531251,.5253682067110811,3650.276041666667,1,8014.258409660657,8014.258409660657,3297.757727864584,0,0,0,0,0,0,0,0
4620,2,1,777.40741,777.40741,.8799514227730562,125706.1223918587,132652.3,1,0,1,0,17398.165078125,9217.940104166666,17398.165078125,.5298225452382064,9217.940104166666,0,8014.258409660657,8014.258409660657,9383.906668464346,1,0,0,0,0,0,0,0
4620,3,2,777.40741,1554.8148,1.066553363270619,97660.55679866741,97322.617,2,0,1.6817929,100,29363.15533854167,17360.03255208333,29463.15533854167,.5892115882569486,10322.33696186744,0,8014.258409660657,13478.32253359675,15984.83280494491,1,.0062559303072013,0,0,0,0,0,0
4620,4,2,777.40741,1554.8148,.9911782670063152,21871.14846325811,38319.738,2,0,1.6817929,0,8339.135559895833,3613.034505208333,8339.135559895833,.4332624741806529,2148.323138549573,0,8014.258409660657,13478.32253359675,4726.1010546875,0,0,0,0,0,0,0,0
4620,5,3,777.40741,2332.2222,.8970189300468778,37837.52541401357,46179.031,2,1,1.9881768,0,17028.364921875,8485.244140625,17028.364921875,.4983005813861009,4267.851854978608,1,8014.258409660657,15933.76282091417,8543.12078125,0,0,0,0,0,0,0,0
4620,6,2,777.40741,1554.8148,1.034192065711766,129231.0726712235,100610.36,2,0,1.6817929,0,34683.56932291667,22274.95833333333,34683.56932291667,.6422337368436724,13244.7692732368,0,8014.258409660657,13478.32253359675,21205.24678931992,1,0,0,0,0,0,0,0
4620,7,4,777.40741,3109.6296,.9434598878425258,42514.57161626033,52465.422,2,2,2.2795072,620,26311.73505208333,13370.26432291667,26931.73505208333,.4964501654668698,5865.418874938387,1,8014.258409660657,18268.55942840848,13561.47072916667,0,.0457177552775722,0,0,0,0,0,0
4620,8,4,777.40741,3109.6296,.8310739172584797,34292.93152589215,43401.758,3,1,2.5588865,0,20205.75390625,9499.986979166666,20205.75390625,.4701624608141026,3712.547186113628,0,8014.258409660657,20507.57787651267,10705.76692708333,0,0,0,0,0,0,0,0
4620,9,4,777.40741,3109.6296,.9648831622397233,39771.18513077122,107763.1,2,2,2.2795072,2710,39373.08067708334,12791.515625,42083.08067708334,.3039586318110432,5611.526845983651,0,8014.258409660657,18268.55942840848,29291.56505208334,0,.092518101889788,0,0,0,0,0,0
4620,10,5,777.40741,3887.0371,1.08718576499059,28520.79860544197,32052.697,4,1,3.0896506,800,22802.66759440104,12919.75260416667,23602.66759440104,.5473852712831263,4181.622502797427,0,8014.258409660657,24761.25855201183,10682.91499023437,0,.0748859277389465,0,0,0,0,0,0
4620,11,5,777.40741,3887.0371,.9265453356828171,25464.66734152009,70369.898,3,2,2.8284271,2000,31528.28899739584,9830.903645833334,33528.28899739584,.2932122079536151,3475.749376065069,0,8014.258409660657,22667.74548266752,23697.3853515625,0,.0843974966153019,0,0,0,0,0,0
4620,12,6,777.40741,4664.4443,.9171791725383104,93059.07887345555,89464.313,5,1,3.5914681,500,75777.72010416666,42675.92447916666,76277.72010416666,.5594808604778356,11882.58487645152,0,8014.258409660657,28782.95338962815,47494.76671453851,1,.0105274756481106,0,0,0,0,0,0
4621,1,1,777.89075,777.89075,1.016419790921455,63002.93467273561,89829.586,1,0,1,0,10875.94360677083,5336.452473958333,10875.94360677083,.4906656991707935,5336.452473958333,1,8014.258409660657,8014.258409660657,5539.491132812501,0,0,0,0,0,0,0,0
4621,2,2,777.89075,1555.7815,.8827437691329189,39115.34176295142,96151.813,2,0,1.6817929,0,17613.527578125,5754.804036458333,17613.527578125,.3267263761295309,3421.826902433371,0,8014.258409660657,13478.32253359675,11858.72354166667,0,0,0,0,0,0,0,0
4621,3,2,777.89075,1555.7815,.9569690641733352,33386.44488939086,50707.117,2,0,1.6817929,475,11578.84360677083,5324.9658203125,12053.84360677083,.4417649667630815,3166.243573725106,0,8014.258409660657,13478.32253359675,6728.877786458334,0,.0705912657465593,0,0,0,0,0,0
4621,4,3,777.89075,2333.6724,.7414263704255517,42933.01471400743,91011.805,1,2,1.6817929,650,24795.10118489583,7957.917317708333,25445.10118489583,.3127485035285353,4731.805877760743,0,8014.258409660657,13478.32253359675,17487.1838671875,0,.0371700786665624,0,0,0,0,0,0
4621,5,3,777.89075,2333.6724,.9547929404355122,86352.06677627153,143077.83,3,0,2.2795072,600,47081.484140625,20612.0859375,47681.484140625,.4322870042532577,9042.343142195343,0,8014.258409660657,18268.55942840848,29412.92471221651,1,.0203991954513382,0,0,0,0,0,0
4621,6,4,777.89075,3111.563,.9987368317683452,47591.18598674524,69720.813,4,0,2.8284271,500,33041.49052083333,15843.69010416667,33541.49052083333,.4723609433613516,5601.590451704361,0,8014.258409660657,22667.74548266752,17697.80041666667,0,.0282520984658145,0,0,0,0,0,0
4621,7,4,777.89075,3111.563,1.159621799481831,31212.12936939714,34919.285,3,1,2.5588865,0,20678.17888020833,12064.75520833333,20678.17888020833,.5834534693904234,4714.845725375582,0,8014.258409660657,20507.57787651267,8613.423671875,0,0,0,0,0,0,0,0
4621,8,4,777.89075,3111.563,.9326626415320819,49855.34605912544,50463.105,4,0,2.8284271,0,27946.972265625,15499.40625,27946.972265625,.5546005521701682,5479.86772565402,0,8014.258409660657,22667.74548266752,12447.566015625,0,0,0,0,0,0,0,0
4621,9,4,777.89075,3111.563,.8388406585726098,22637.22346245371,31813.52,1,3,1.9881768,300,14177.009296875,6329.674479166666,14477.009296875,.4372225194697489,3183.657714453508,0,8014.258409660657,15933.76282091417,8147.334817708335,0,.0368218572959523,0,0,0,0,0,0
4621,10,5,777.89075,3889.4536,.9969806663677753,36967.28845231623,37107.418,2,3,2.5588865,0,26797.98382161458,15356.52994791667,26797.98382161458,.5730479595084491,6001.254756625859,0,8014.258409660657,20507.57787651267,11441.45387369792,0,0,0,0,0,0,0,0
4621,11,5,777.89075,3889.4536,.9492707836815661,45042.00828153045,42828.324,3,2,2.8284271,1040,31020.84267578126,17815.44270833334,32060.84267578126,.5556760590635103,6298.710282249302,0,8014.258409660657,22667.74548266752,14245.39996744792,0,.0730060231637229,0,0,0,0,0,0
4621,12,6,777.89075,4667.3447,.9757242176833645,24510.10616857256,22807.736,4,2,3.3437016,0,20396.41452473959,11957.55208333333,20396.41452473959,.5862575536906041,3576.142105400637,0,8014.258409660657,26797.288675438,8438.862441406252,0,0,0,0,0,0,0,0
4622,1,1,415.71756,415.71756,1.363704221832345,60661.09904965165,218391.16,1,0,1,0,21089.07489583333,6893.649739583333,21089.07489583333,.326882510192296,6893.649739583333,0,8014.258409660657,8014.258409660657,14195.42515625,0,0,0,0,0,0,0,0
4622,2,1,415.71756,415.71756,1.503540315558053,98227.256759779,163205.19,1,0,1,200,22915.72390625,12307.38671875,23115.72390625,.5324248882996194,12307.38671875,0,8014.258409660657,8014.258409660657,15101.46549658934,1,.0132437477703849,0,0,0,0,0,0
4622,3,1,415.71756,415.71756,1.41570291146053,77719.60777172391,268500.84,1,0,1,0,26621.54442708334,9168.989583333332,26621.54442708334,.3444198967662181,9168.989583333332,0,8014.258409660657,8014.258409660657,18607.28601742268,1,0,0,0,0,0,0,0
4622,4,2,415.71756,831.43512,1.555131422969296,66023.07752482934,143726.55,2,0,1.6817929,0,35796.87817708334,17112.42708333333,35796.87817708334,.4780424426588257,10175.10987145903,0,8014.258409660657,13478.32253359675,22318.55564348659,1,0,0,0,0,0,0,0
4622,5,2,415.71756,831.43512,1.264563068890581,55749.27680305366,48156.418,2,0,1.6817929,0,18010.0804296875,11749.74609375,18010.0804296875,.6523983132458379,6986.440724243812,0,8014.258409660657,13478.32253359675,6260.334335937499,0,0,0,0,0,0,0,0
4622,6,3,415.71756,1247.1527,1.60547508302494,49362.82880039912,277114.06,2,1,1.9881768,1600,73849.94010416667,19812.69791666667,75449.94010416667,.262593951556663,9965.259473317683,0,8014.258409660657,15933.76282091417,59516.1772832525,1,.0268834470397048,0,0,0,0,0,0
4622,7,3,415.71756,1247.1527,1.237033235527475,65496.97710058049,212664.23,2,1,1.9881768,500,61725.010078125,20255.484375,62225.010078125,.3255199854458641,10187.96927120196,0,8014.258409660657,15933.76282091417,46291.24725721083,1,.0108011779683062,0,0,0,0,0,0
4622,8,4,415.71756,1662.8702,1.326606482618471,34068.39341934536,159710.88,3,1,2.5588865,0,56589.94468749999,15065.1171875,56589.94468749999,.2662154428793371,5887.372113833288,0,8014.258409660657,20507.57787651267,41524.82749999999,0,0,0,0,0,0,0,0
4622,9,4,415.71756,1662.8702,1.513586897457325,40247.15237845639,75577.961,2,2,2.2795072,1250,39956.12401041667,20305.85416666666,41206.12401041667,.4927872896158217,8908.001923101192,1,8014.258409660657,18268.55942840848,22937.56458200819,1,.05449575937022,0,0,0,0,0,0
4622,10,5,415.71756,2078.5879,1.528018729479799,49365.74388435679,65757.883,4,1,3.0896506,70,52801.22076822916,31429.90885416667,52871.22076822916,.5944615690253403,10172.64170237048,0,8014.258409660657,24761.25855201183,28109.96221621734,1,.0024902203518301,0,0,0,0,0,0
4622,11,5,415.71756,2078.5879,1.317419985622217,22713.62327623048,56069.301,2,3,2.5588865,0,30690.59827473958,12468.07552083333,30690.59827473958,.4062506507439249,4872.461277329286,0,8014.258409660657,20507.57787651267,18222.52275390625,0,0,0,0,0,0,0,0
4622,12,6,415.71756,2494.3054,1.471652476937565,31491.32147451015,39425.992,4,2,3.3437016,200,38548.277578125,23172.140625,38748.277578125,.598017307434631,6930.086290556791,0,8014.258409660657,26797.288675438,15576.136953125,0,.0128401541795557,0,0,0,0,0,0
4623,1,2,440.97089,881.94177,1.326312832059199,54136.29010775882,29861.461,2,0,1.6817929,150,15848.93263020833,11966.94270833333,15998.93263020833,.7479838177290644,7115.586602051337,0,8014.258409660657,13478.32253359675,4031.989921875002,0,.0372024739412655,0,0,0,0,0,0
4623,2,3,440.97089,1322.9126,1.33201543042418,58542.57601092559,44582.477,1,2,1.6817929,1200,28188.48657552083,19494.90364583333,29388.48657552083,.6633517379582122,11591.73889033292,0,8014.258409660657,13478.32253359675,15910.16404192408,1,.0754234838080827,0,0,0,0,0,0
4623,3,3,440.97089,1322.9126,1.282726156002442,62880.54176455604,30182.771,2,1,1.9881768,0,26050.26934570313,20164.62890625,26050.26934570313,.7740660427979822,10142.27138974877,0,8014.258409660657,15933.76282091417,10116.50652478896,1,0,0,0,0,0,0,0
4623,4,4,440.97089,1763.8835,1.363119132124034,70252.10778039784,49402.191,2,2,2.2795072,900,44765.233828125,31920.6640625,45665.233828125,.6990145760042121,14003.31818211294,0,8014.258409660657,18268.55942840848,27396.67439971652,1,.0328507024929023,0,0,0,0,0,0
