psu_number,hh_number,prov,domain,ad_4,hhsize,hhs_wt,ind_wt,pcep_mo_real,pline_mo_real,oopg,oopg_pc_mo_real,raw_post_oopg_mo_real,post_oopg_mo_real_floored,negative_raw_post_oopg,pre_poverty_multiple,post_poverty_multiple,poor_pre_oopg,poor_post_oopg,pushed_below_poverty_oopg,rank_pre_oopg,cum_population_share,paasche,pcep,pline
4217,12,2,22,3,12.0,1138.7181396484375,13664.6171875,2917.5641276041665,6075.671223958333,620.0,63.19369583574906,2854.3704317684173,2854.3704317684173,False,0.4802044119996601,0.46980330675443943,True,True,False,84,0.9431660396372271,0.8175921028729976,35010.76953125,72908.0546875
4537,9,5,51,2,8.0,626.3516235351562,5010.81298828125,2927.9664713541665,6075.671223958333,2280.0,317.4664059460842,2610.5000654080823,2610.5000654080823,False,0.481916542785964,0.42966447149313114,True,True,False,85,0.9606007132630099,0.8977327826252015,35135.59765625,72908.0546875
4740,7,7,71,2,4.0,119.01200103759766,476.0480041503906,2928.2555338541665,6075.671223958333,10.0,2.629699591033699,2925.6258342631327,2925.6258342631327,False,0.48196411983372467,0.481531295295645,True,True,False,86,0.9622570795257258,0.9506789325001508,35139.06640625,72908.0546875
4554,6,5,51,2,6.0,1592.576904296875,9555.4609375,2929.2545572916665,6075.671223958333,450.0,68.67237286173753,2860.582184429929,2860.582184429929,False,0.4821285499683838,0.4708257045163553,True,True,False,87,0.995504447403722,1.0921422527659308,35151.0546875,72908.0546875
4590,3,5,52,3,3.0,698.3973999023438,2095.192138671875,2930.3792317708335,6075.671223958333,1100.0,403.5453952490295,2526.833836521804,2526.833836521804,False,0.482313661117047,0.41589377426442736,True,True,False,88,1.0027944802200495,0.908613184497856,35164.55078125,72908.0546875
4385,11,3,32,3,6.0,518.059326171875,3108.35595703125,2944.0107421875,6075.671223958333,0.0,0.0,2944.0107421875,2944.0107421875,False,0.4845572832477036,0.4845572832477036,True,True,False,89,1.0136097255206302,1.0157679404708673,35328.12890625,72908.0546875
4181,11,2,21,2,9.0,1526.7547607421875,13740.79296875,2949.0712890625,6075.671223958333,140.0,16.367283051385023,2932.704006011115,2932.704006011115,False,0.4853902030500531,0.4826962977269929,True,True,False,90,1.0614195801948874,0.9504054831042482,35388.85546875,72908.0546875
4384,11,3,32,3,5.0,401.9200744628906,2009.600341796875,2950.3486328125,6075.671223958333,200.0,38.047173710292135,2912.301459102208,2912.301459102208,False,0.4856004421665088,0.47933822482330235,True,True,False,91,1.0684118040434785,1.051326448176612,35404.18359375,72908.0546875
4556,9,5,51,2,6.0,590.6329956054688,3543.7978515625,2951.9658203125,6075.671223958333,870.0,140.65894639854815,2811.3068739139517,2811.3068739139517,False,0.48586661646073703,0.4627154383910803,True,True,False,92,1.0807421302963716,1.0308622644531387,35423.58984375,72908.0546875
4759,12,7,72,3,8.0,808.6827392578125,6469.4619140625,2954.671875,6075.671223958333,0.0,0.0,2954.671875,2954.671875,False,0.4863120083504148,0.4863120083504148,True,True,False,93,1.1032520418157,1.0619257560693458,35456.0625,72908.0546875
4678,9,6,62,3,5.0,344.91461181640625,1724.572998046875,2958.2281901041665,6075.671223958333,0.0,0.0,2958.2281901041665,2958.2281901041665,False,0.48689734534003715,0.48689734534003715,True,True,False,94,1.1092525386283136,1.183703809609759,35498.73828125,72908.0546875
4628,7,6,61,2,4.0,278.0476379394531,1112.1905517578125,2960.4720052083335,6075.671223958333,0.0,0.0,2960.4720052083335,2960.4720052083335,False,0.48726665681550324,0.48726665681550324,True,True,False,95,1.113122305734954,1.121040972144863,35525.6640625,72908.0546875
4719,9,7,71,2,5.0,530.7352294921875,2653.67626953125,2964.7265625,6075.671223958333,100.0,18.7937380002061,2945.9328244997937,2945.9328244997937,False,0.48796691809279047,0.48487364044371417,True,True,False,96,1.1223555339108933,1.0641842511468804,35576.71875,72908.0546875
4397,6,3,32,3,4.0,548.2236328125,2192.89453125,2966.2734375,6075.671223958333,0.0,0.0,2966.2734375,2966.2734375,False,0.4882215195916175,0.4882215195916175,True,True,False,97,1.129985513424701,1.1494568277233217,35595.28125,72908.0546875
4587,11,5,52,3,6.0,615.8511962890625,3695.107177734375,2975.8115234375,6075.671223958333,600.0,95.54303249730717,2880.268490940193,2880.268490940193,False,0.489791401434448,0.4740658907911877,True,True,False,98,1.1428423068845153,1.0466487967379354,35709.73828125,72908.0546875
